a_a_1;tetrapsifios_mai;ktirio_ypiresia;perifereia_1;nomos_1;megethos_1;typos_1;diefthinsi_forea;arithmos;tk_1;dimos_1;longitude;latitude
254;255;ΚΕΠ ΥΜΗΤΤΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΠΕΡΓΑΜΟΥ 1 & ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ, 17237 ΥΜΗΤΤΟΣ;;;;23,746342;37,952011
255;256;ΚΕΠ ΧΑΙΔΑΡΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΛΕΩΦΟΡΟΣ ΑΘΗΝΩΝ 227 ΧΑ'Ι'ΔΑΡΙ 12461;;;;23,6603608;38,0125137
256;257;ΚΕΠ ΧΑΛΑΝΔΡΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΜΕΣΟΛΟΓΓΙΟΥ 2, 15233 ΧΑΛΑΝΔΡΙ;;;;23,7982771;38,0221134
258;259;ΚΕΠ ΨΥΧΙΚΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΠ;ΓΡΑΜΜΟΥ 2, 15452 ΨΥΧΙΚΟ;;;;23,7661564;38,0051758
259;260;Κ.Ψ.Υ. ΠΕΡΙΣΤΕΡΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΠΛΟΥΤΩΝΟΣ 19 & ΗΦΑΙΣΤΟΥ;;;;23,6821477;38,0181838
260;261;ΚΕΝΤΡΟ ΑΠΟΘΕΡΑΠΕΙΑΣ & ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΠΑΙΔΙΩΝ ΒΟΥΛΑΣ (Κ.Α.Α.Π.Β.);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΦΟΡΕΑΣ ΥΓΕΙΑΣ;Λ. Κ. ΚΑΡΑΜΑΝΛΗ 2, 16673 ΒΟΥΛΑ;;;;23,7722077;37,8465864
261;262;ΚΕΝΤΡΟ ΒΡΕΦΩΝ «ΜΗΤΕΡΑ» (ΕΟΚΦ) - ΦΥΛΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΦΟΡΕΑΣ ΥΓΕΙΑΣ;ΔΗΜΟΚΡΑΤΙΑΣ 65, 13122, ΙΛΙΟΝ;;;;23,7284534;38,0453648
262;263;ΚΕΝΤΡΟ ΕΛΕΓΧΟΥ & ΠΡΟΛΗΨΗΣ ΝΟΣΗΜΑΤΩΝ (ΚΕΕΛ);ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΦΟΡΕΑΣ ΥΓΕΙΑΣ;3ης ΣΕΠΤΕΜΒΡΙΟΥ 42 ΚΑΙ ΠΟΛΥΤΕΧΝΕΙΟΥ 9, 10433 ΑΘΗΝΑ;;;;23,7283255;37,9892509
263;264;ΚΕΝΤΡΟ ΠΡΟΣΤΑΣΙΑΣ ΠΑΙΔΩΝ ΜΙΧΑΛΗΝΕΙΟ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΦΟΡΕΑΣ ΥΓΕΙΑΣ;ΑΚΤΗ ΚΟΥΝΤΟΥΡΙΩΤΗ 3, ΠΛ ΑΛΕΞΑΝΔΡΑΣ ΚΑΣΤΕΛΑ ΠΕΙΡΑΙΑ;;;;23,641103;37,950902
264;265;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΑΙΓΙΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΑΙΓΙΝΑ 18010;;;;23,426768;37,746801
265;266;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΒΑΡΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΟΑΣΕΩΣ ΚΑΙ ΤΡΙΠΤΟΠΟΛΕΜΟΥ 20, 16672 ΒΑΡΗ;;;;23,806322;37,825612
